pclass,sex,age,sibsp,parch,fare,alone,embarked_C,embarked_Q,embarked_S
1,1,1.2159466425950585,0,0,-0.07458306872129913,True,0.0,0.0,1.0
2,1,-0.5155262490625547,0,0,-0.3866707201133388,True,0.0,0.0,1.0
3,1,0.17706290760049057,0,0,-0.4888542575852486,True,0.0,0.0,1.0
3,1,-0.2846631968415396,1,0,-0.4902797934380587,False,0.0,0.0,1.0
3,0,-1.8237502116483069,4,2,-0.01870931177853076,False,0.0,0.0,1.0
1,1,-0.4385718983222164,0,1,4.335332226633905,False,1.0,0.0,0.0
1,1,1.1774694672248893,0,0,-0.11384570873513637,True,0.0,0.0,1.0
2,1,-0.05380014462052453,1,0,-0.09027201697708476,False,1.0,0.0,0.0
3,1,0.0,0,0,-0.4894421904510968,True,0.0,0.0,1.0
1,1,0.0,0,0,0.06635974158478332,True,0.0,0.0,1.0
2,0,0.9466064150038742,0,0,-0.3866707201133388,True,0.0,0.0,1.0
3,1,0.48488031056184405,1,1,-0.1621689579829361,False,0.0,0.0,1.0
2,1,0.25401725834082894,0,0,-0.4012683683236117,True,0.0,0.0,1.0
3,1,-0.977252353504585,1,0,-0.5063875431873253,False,0.0,0.0,1.0
3,1,-0.05380014462052453,0,0,-0.45714212526638004,True,0.0,0.0,1.0
2,0,1.5622412209265812,0,1,-0.12491978668775715,False,0.0,0.0,1.0
1,0,0.40792595982150565,1,0,1.163700193253568,False,0.0,0.0,1.0
1,0,0.6387890120425208,0,0,3.9327230485884233,True,1.0,0.0,0.0
2,1,0.3309716090811673,0,0,-0.3866707201133388,True,0.0,0.0,1.0
1,0,-0.977252353504585,1,0,0.49925551609632224,False,0.0,0.0,1.0
3,0,-1.4389784579466152,4,2,-0.01870931177853076,False,0.0,0.0,1.0
3,1,2.4087390790703034,0,0,-0.5228315422126077,True,0.0,0.0,1.0
3,0,0.02315420611981384,0,0,-0.47400492578514347,True,0.0,0.0,1.0
2,0,-1.7467958609079686,0,2,-0.11988611489111134,False,0.0,0.0,1.0
3,0,2.56264778055098,0,0,-0.455380340137554,True,0.0,0.0,1.0
3,1,-0.7463893012835698,0,0,-0.5028639729296732,True,1.0,0.0,0.0
3,0,0.0,0,2,-0.19824427701513722,False,1.0,0.0,0.0
3,1,-0.05380014462052453,0,0,-0.457478374542396,True,0.0,0.0,1.0
1,1,0.48488031056184405,1,2,1.7677408088510642,False,0.0,0.0,1.0
3,1,0.0,0,0,-0.3573083057891445,True,1.0,0.0,0.0
3,1,1.5622412209265812,0,0,-0.4863374216869257,True,0.0,0.0,1.0
1,1,-0.20770884610120124,0,2,3.610064686423428,False,1.0,0.0,0.0
3,1,0.02315420611981384,0,0,-0.5024451714361923,True,0.0,0.0,1.0
1,0,0.25401725834082894,1,0,1.163700193253568,False,0.0,1.0,0.0
3,1,0.0,0,0,-0.4928811950225652,True,0.0,1.0,0.0
3,0,0.0,3,1,-0.13565761536436197,False,0.0,0.0,1.0
3,1,-2.1315676146096605,3,1,-0.22408312108167944,False,0.0,0.0,1.0
2,0,-0.361617547581878,1,1,-0.04438103794142432,False,0.0,0.0,1.0
1,1,1.6391955716669195,0,1,0.5874293382238074,False,1.0,0.0,0.0
2,0,-0.361617547581878,0,1,-0.12491978668775715,False,0.0,0.0,1.0
3,1,0.0,0,0,-0.5024451714361923,True,0.0,0.0,1.0
3,1,0.0,0,0,-0.4894421904510968,True,0.0,0.0,1.0
2,0,-0.4385718983222164,0,0,-0.3866707201133388,True,0.0,0.0,1.0
3,1,-0.9002980027642465,1,1,-0.2414492887801075,False,0.0,0.0,1.0
1,1,0.0,0,0,-0.034313694348132716,True,0.0,0.0,1.0
3,1,-0.361617547581878,0,0,-0.5064721088735089,True,0.0,0.0,1.0
2,0,-0.4385718983222164,0,2,-0.35646868933346404,False,0.0,0.0,1.0
3,1,-0.5924805998028931,0,0,-0.4969926981460655,True,0.0,0.0,1.0
1,1,-2.214678313409226,1,2,2.4029901895877646,False,0.0,0.0,1.0
2,0,-0.4385718983222164,1,0,-0.12491978668775715,False,0.0,0.0,1.0
3,0,-0.2846631968415396,0,0,-0.4888542575852486,True,0.0,0.0,1.0
2,1,0.3309716090811673,1,0,-0.22559322262067316,False,0.0,0.0,1.0
1,0,-0.6694349505432314,2,2,4.634416897040849,False,1.0,0.0,0.0
3,1,0.0,0,0,-0.49237782784290063,True,0.0,1.0,0.0
3,0,0.0,0,0,-0.5028639729296732,True,1.0,0.0,0.0
3,1,0.0,0,0,-0.47400492578514347,True,0.0,0.0,1.0
3,0,-0.5924805998028931,0,0,-0.4918744606632361,True,0.0,0.0,1.0
1,0,2.4856934298106417,0,0,0.962353321387736,True,0.0,0.0,1.0
3,0,-0.9002980027642465,0,0,-0.45026210265472455,True,0.0,0.0,1.0
1,0,0.9466064150038742,0,0,3.9327230485884233,True,1.0,0.0,0.0
2,1,2.1009216761089498,0,0,-0.3997582667846179,True,0.0,1.0,0.0
3,1,-0.8233436520239081,0,0,-0.6484216535389205,True,0.0,0.0,1.0
2,0,0.9466064150038742,1,0,-0.12491978668775715,False,0.0,0.0,1.0
3,1,0.0,0,0,-0.5029485386158568,True,1.0,0.0,0.0
3,0,-0.7463893012835698,0,0,-0.47400492578514347,True,0.0,0.0,1.0
3,1,0.3694487844513365,0,0,-0.5188046047752911,True,1.0,0.0,0.0
3,1,-0.1307544953608629,0,0,-0.45714212526638004,True,0.0,0.0,1.0
3,1,0.0,0,0,-0.4863374216869257,True,0.0,0.0,1.0
3,1,-0.5155262490625547,0,0,-0.4894421904510968,True,0.0,0.0,1.0
3,1,-0.5924805998028931,0,0,-0.5024451714361923,True,0.0,0.0,1.0
1,1,1.7161499224072578,0,0,-0.034313694348132716,True,0.0,0.0,1.0
3,0,0.02315420611981384,0,0,-0.397241430886295,True,0.0,0.0,1.0
2,1,0.5233574859320133,0,2,-0.12491978668775715,False,0.0,0.0,1.0
3,1,0.0,0,0,-0.49237782784290063,True,0.0,1.0,0.0
3,1,-0.5924805998028931,0,0,-0.5028639729296732,True,1.0,0.0,0.0
1,1,1.5622412209265812,2,0,2.042579288947925,False,0.0,0.0,1.0
3,1,-0.20770884610120124,0,0,-0.5079822104125026,True,0.0,0.0,1.0
3,1,-0.5924805998028931,0,0,-0.4863374216869257,True,0.0,0.0,1.0
1,0,1.6391955716669195,1,0,0.921244330558889,False,0.0,0.0,1.0
2,1,0.48488031056184405,0,0,-0.43700743807979686,True,0.0,0.0,1.0
2,0,-0.05380014462052453,1,0,-0.12491978668775715,False,0.0,0.0,1.0
1,0,-0.5924805998028931,0,0,2.4029901895877646,True,0.0,0.0,1.0
1,1,1.5622412209265812,1,0,1.4944124302931971,False,1.0,0.0,0.0
2,0,0.7926977135231975,0,0,-0.3866707201133388,True,0.0,0.0,1.0
3,1,-0.20770884610120124,0,0,-0.47400492578514347,True,0.0,0.0,1.0
1,1,0.0,0,0,-0.6484216535389205,True,0.0,0.0,1.0
1,1,2.7165564820316566,0,0,-0.11384570873513637,True,0.0,0.0,1.0
3,1,-0.977252353504585,0,0,-0.47400492578514347,True,0.0,0.0,1.0
1,1,-0.1307544953608629,0,0,-0.11384570873513637,True,0.0,0.0,1.0
1,1,-1.9776589131289837,0,2,0.9997696105865636,False,0.0,0.0,1.0
3,1,0.0,0,0,-0.4894421904510968,True,0.0,0.0,1.0
3,0,-2.208521965349999,1,1,-0.4242561406845337,False,0.0,0.0,1.0
2,1,0.48488031056184405,1,2,-0.08968408411123653,False,0.0,0.0,1.0
2,1,1.0235607657442125,1,1,-0.11988611489111134,False,0.0,0.0,1.0
1,1,0.6387890120425208,0,1,2.441497778832105,False,0.0,0.0,1.0
2,0,0.1001085568601522,1,1,-0.11988611489111134,False,0.0,0.0,1.0
3,1,-0.05380014462052453,0,0,-0.4863374216869257,True,0.0,0.0,1.0
3,1,-0.9002980027642465,0,0,-0.48130374989027985,True,0.0,0.0,1.0
2,1,0.0,0,0,-0.34539461138084326,True,1.0,0.0,0.0
